dataset,best_config,accuracy,precision_macro,recall_macro,f1_macro,total_params,trainable_params,gpu_memory_peak_mb,latency_ms_per_sample
ag_news,large_classifier,0.9451315789473684,0.9454026877583872,0.9451315789473684,0.9450951877707496,66888964,66888964,1743.041015625,0.1994210526315789
sst2,large_classifier,0.911697247706422,0.9141906403287816,0.9110149869495664,0.9114399709829524,66888450,66888450,1743.033203125,0.2020642201834862
yelp_review_full,baseline,0.65396,0.6547878025340352,0.65396,0.6542963600097697,66957317,66957317,1737.6630859375,0.19855
