run_id,timestamp_utc,execution_mode,dataset_name,dataset_config,dataset_run_name,ablation_config,freeze_mode,classifier_hidden_sizes,dropout,model_name,seed,train_size,eval_size,num_labels,max_length,learning_rate,epochs,train_batch_size,eval_batch_size,gradient_accumulation_steps,fp16,cuda_available,gpu_name,gpu_memory_peak_mb,total_params,trainable_params,train_loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,latency_ms_per_sample
20260514T212721Z,20260514T212721Z,full-run,yelp_review_full,,yelp_review_full,baseline,none,[],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,32,64,1,True,True,NVIDIA GeForce RTX 5090,1737.6630859375,66957317,66957317,0.8038480828746146,0.8031153082847595,0.65396,0.6547878025340352,0.65396,0.6542963600097697,0.6547878025340353,0.65396,0.6542963600097697,9.9275,5036.512,78.771,3.0,0.19855
20260514T223201Z,20260514T223201Z,full-run,yelp_review_full,,yelp_review_full,frozen_transformer,all,[],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,32,64,1,True,True,NVIDIA GeForce RTX 5090,448.01220703125,66957317,594437,1.1688199076842436,1.1028858423233032,0.5184,0.5140023581303919,0.5184000000000001,0.515847386853143,0.5140023581303919,0.5184,0.5158473868531431,9.9152,5042.775,78.869,3.0,0.198304
20260515T003536Z,20260515T003536Z,full-run,ag_news,,ag_news,baseline,none,[],0.2,distilbert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4143.46630859375,66956548,66956548,0.2107492908994272,0.17089325189590454,0.9431578947368421,0.9435769909719032,0.9431578947368422,0.9432004131984214,0.9435769909719032,0.9431578947368421,0.9432004131984215,1.3486,5635.508,44.491,3.0,0.17744736842105263
20260515T003835Z,20260515T003835Z,full-run,ag_news,,ag_news,frozen_transformer,all,[],0.2,distilbert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,615.99267578125,66956548,593668,0.4877020224833539,0.3438509404659271,0.8851315789473684,0.8848734157981268,0.8851315789473684,0.8848715086963727,0.8848734157981267,0.8851315789473684,0.8848715086963725,1.335,5692.923,44.944,3.0,0.1756578947368421
20260515T004015Z,20260515T004015Z,full-run,ag_news,,ag_news,small_classifier,none,[128],0.2,distilbert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4136.474609375,66461828,66461828,0.2519431823352252,0.1799212545156479,0.9411842105263157,0.9414692110340132,0.9411842105263157,0.941134161193225,0.9414692110340133,0.9411842105263157,0.9411341611932251,1.4289,5318.766,41.99,3.0,0.18801315789473685
20260515T004318Z,20260515T004318Z,full-run,ag_news,,ag_news,large_classifier,none,"[512, 256]",0.3,distilbert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4141.61376953125,66888964,66888964,0.2552940391358875,0.18119527399539948,0.9393421052631579,0.9395070674810491,0.939342105263158,0.9393804738298015,0.9395070674810492,0.9393421052631579,0.9393804738298015,1.4578,5213.164,41.157,3.0,0.19181578947368422
20260515T004624Z,20260515T004624Z,full-run,ag_news,,ag_news,freeze_lower_layers,lower_layers,[256],0.2,distilbert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,2191.1767578125,66560772,21461508,0.26239826159012936,0.1858094483613968,0.9365789473684211,0.9368134748440899,0.936578947368421,0.9365855294567196,0.9368134748440898,0.9365789473684211,0.9365855294567197,1.3552,5608.001,44.274,3.0,0.1783157894736842
20260515T004846Z,20260515T004846Z,full-run,glue,sst2,sst2,baseline,none,[],0.2,distilbert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4143.44873046875,66955010,66955010,0.19900574026644643,0.25237274169921875,0.9105504587155964,0.9106089959568733,0.910436137071651,0.9105033790185056,0.9105699711293552,0.9105504587155964,0.9105410427761782,0.1566,5567.479,44.693,3.0,0.17958715596330274
20260515T005024Z,20260515T005024Z,full-run,glue,sst2,sst2,frozen_transformer,all,[],0.2,distilbert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,615.7880859375,66955010,592130,0.5016762855911013,0.4784739911556244,0.7993119266055045,0.8011119072260702,0.7985497179422413,0.7986762236092366,0.8007606914952281,0.7993119266055045,0.798883800097814,0.1593,5473.642,43.94,3.0,0.18268348623853212
20260515T005120Z,20260515T005120Z,full-run,glue,sst2,sst2,small_classifier,none,[128],0.2,distilbert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4136.4716796875,66461570,66461570,0.21223756137488387,0.2539512813091278,0.9105504587155964,0.9105019467536567,0.910562431590469,0.9105273958547095,0.9105666293695761,0.9105504587155964,0.9105537534100087,0.1543,5650.064,45.356,3.0,0.17694954128440366
20260515T005300Z,20260515T005300Z,full-run,glue,sst2,sst2,large_classifier,none,"[512, 256]",0.3,distilbert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4141.60791015625,66888450,66888450,0.2385694309550701,0.2602490484714508,0.9105504587155964,0.9105008417508418,0.9106045297634082,0.9105335157318741,0.910600075680351,0.9105504587155964,0.910556106376837,0.1558,5597.215,44.932,3.0,0.1786697247706422
20260515T005438Z,20260515T005438Z,full-run,glue,sst2,sst2,freeze_lower_layers,lower_layers,[256],0.2,distilbert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,2191.1708984375,66560258,21460994,0.2805961757276271,0.2897346615791321,0.8784403669724771,0.8820610036636278,0.8775574640060622,0.8779369506423259,0.8814575642151026,0.8784403669724771,0.878080783879512,0.1593,5473.667,43.94,3.0,0.18268348623853212
20260515T005551Z,20260515T005551Z,full-run,yelp_review_full,,yelp_review_full,baseline,none,[],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4143.47509765625,66957317,66957317,0.8322980387157488,0.8042160868644714,0.65028,0.6508345395554022,0.6502800000000001,0.650193497499763,0.6508345395554023,0.65028,0.6501934974997631,8.8362,5658.565,44.25,3.0,0.17672400000000002
20260515T011930Z,20260515T011930Z,full-run,yelp_review_full,,yelp_review_full,frozen_transformer,all,[],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,617.3232421875,66957317,594437,1.1905117697107703,1.1168403625488281,0.51176,0.5074114220099429,0.51176,0.5089557972820767,0.5074114220099429,0.51176,0.5089557972820766,8.7404,5720.538,44.735,3.0,0.174808
20260515T013534Z,20260515T013534Z,full-run,yelp_review_full,,yelp_review_full,small_classifier,none,[128],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4136.47607421875,66461957,66461957,0.8473004536842466,0.8097851276397705,0.64778,0.6486727871105621,0.64778,0.6479297344905789,0.6486727871105621,0.64778,0.6479297344905789,8.8077,5676.829,44.393,3.0,0.176154
20260515T015832Z,20260515T015832Z,full-run,yelp_review_full,,yelp_review_full,large_classifier,none,"[512, 256]",0.3,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,4141.61669921875,66889221,66889221,0.8658008383915964,0.8217800259590149,0.64422,0.6451667014426598,0.64422,0.6445793350496751,0.6451667014426596,0.64422,0.644579335049675,8.813,5673.405,44.366,3.0,0.17626
20260515T022151Z,20260515T022151Z,full-run,yelp_review_full,,yelp_review_full,freeze_lower_layers,lower_layers,[256],0.2,distilbert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,2191.1796875,66561029,21461765,0.8877165018827605,0.8383811116218567,0.63524,0.634276251800868,0.6352399999999999,0.634652623686627,0.6342762518008681,0.63524,0.634652623686627,9.3548,5344.844,41.797,3.0,0.18709599999999998
