dataset,model_type,model_name,configuration,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
ag_news,distilbert,distilbert-base-uncased,large_classifier,0.939342105263158,0.9395070674810492,0.939342105263158,0.9393804738298016,0.9395070674810492,0.939342105263158,0.9393804738298016
ag_news,bert,bert-base-uncased,bert_base,0.9461842105263156,0.9463271177810956,0.9461842105263156,0.9461329504892576,0.9463271177810956,0.9461842105263156,0.9461329504892576
sst2,distilbert,distilbert-base-uncased,large_classifier,0.9105504587155964,0.9105008417508418,0.9106045297634082,0.910533515731874,0.910600075680351,0.9105504587155964,0.910556106376837
sst2,bert,bert-base-uncased,bert_base,0.9208715596330276,0.920832741374502,0.9208659594173614,0.9208481383500032,0.9208771050985312,0.9208715596330276,0.920873121051896
yelp_review_full,distilbert,distilbert-base-uncased,baseline,0.65028,0.6508345395554022,0.6502800000000001,0.650193497499763,0.6508345395554023,0.65028,0.6501934974997631
yelp_review_full,bert,bert-base-uncased,bert_base,0.65764,0.6576508071208979,0.65764,0.6575239172016971,0.6576508071208979,0.65764,0.6575239172016972
