run_id,timestamp_utc,execution_mode,dataset_name,dataset_config,dataset_run_name,model_name,seed,train_size,eval_size,num_labels,max_length,learning_rate,epochs,train_batch_size,eval_batch_size,gradient_accumulation_steps,fp16,cuda_available,gpu_name,peak_cuda_memory_mb,model_type,train_loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
20260515T024114Z,20260515T024114Z,full-run,ag_news,,ag_news,bert-base-uncased,42,120000,7600,4,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,7851.7197265625,bert,0.1827530769820576,0.16670610010623932,0.9461842105263157,0.9463271177810956,0.9461842105263157,0.9461329504892577,0.9463271177810956,0.9461842105263157,0.9461329504892575,2.2741,3341.914,26.384,3.0
20260515T024640Z,20260515T024640Z,full-run,glue,sst2,sst2,bert-base-uncased,42,67349,872,2,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,7851.7021484375,bert,0.15859362854375483,0.22627611458301544,0.9208715596330275,0.9208327413745021,0.9208659594173614,0.9208481383500031,0.9208771050985313,0.9208715596330275,0.9208731210518959,0.2752,3168.367,25.434,3.0
20260515T025034Z,20260515T025034Z,full-run,yelp_review_full,,yelp_review_full,bert-base-uncased,42,650000,50000,5,128,2e-05,3.0,128,128,1,True,True,NVIDIA GeForce RTX 5090,7851.728515625,bert,0.7816557123442448,0.7826181054115295,0.65764,0.6576508071208979,0.65764,0.6575239172016971,0.6576508071208979,0.65764,0.6575239172016972,15.9192,3140.859,24.562,3.0
